,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
CBDe0096,CBDe0096,2017,4,Fall,December,1.4,NA,NA,NA,NA,NA,NA,NA,NA,CB,14:33:00,24.7,35.37,87.3,1.99,8.16,12/8/17,2017-12-08,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/8/17,2017.934247,Dec,43476,71379,9034,820689,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBDe0589,CBDe0589,2019,24,Fall,December,0.9,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:14:00,26.08,33.52,-,2.049,7.89,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,9638,115499,19000,566017,Run2,Coastal,21.45705,-157.81135,NA,NA
CBDe0749,CBDe0749,2020,32,Fall,December,1.4,0.1,7.06,0.06,NA,NA,NA,0.01,NA,CB,12:51,25,34.73,-,2.079,7.76,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,2639,236552,22296,1352816,Run2,Coastal,21.45705,-157.81135,NA,NA
CBFe0138,CBFe0138,2018,6,Winter,February,2.7,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:38:00,24,34.48,85.6,2.2,8.07,2/21/18,2018-02-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/21/18,2018.139726,Feb,8377,334757,27824,1545511,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBFe0388,CBFe0388,2019,16,Winter,February,1.9,0.05,5.84,0.06,NA,NA,NA,0.01,NA,CB,13:09:00,23.83,33.27,-99,1.91,7.86,2/25/19,2019-02-25,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/25/19,2019.150685,Feb,6277,46457,12514,1632634,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBFe0769,CBFe0769,2021,33,Winter,February,9.9,0.11,3.72,0.07,NA,NA,NA,0.02,NA,CB,14:08,23.4,34.77,-,2.01,7.6,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,3874,76513,8561,982487,Run2,Coastal,21.45705,-157.81135,NA,NA
CBJa0118,CBJa0118,2018,5,Winter,January,1.7,NA,NA,NA,NA,NA,NA,NA,NA,CB,9:42:00,24.02,34.1,78.6,1.77,8.07,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,10688,144137,7340,1668494,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJa0356,CBJa0356,2019,15,Winter,January,1.5,NA,NA,NA,NA,NA,NA,NA,NA,CB,11:48:00,23.07,34.71,-99.9,2.012,7.92,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,8574,172788,14969,1075953,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJa0609,CBJa0609,2020,25,Winter,January,1,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:32:00,24.03,32.9,-,2.015,7.94,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,1773,27483,6290,952536,Run2,Coastal,21.45705,-157.81135,NA,NA
CBJn0198,CBJn0198,2018,9,Spring,June,1.1,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:07:00,25.88,34.77,55.9,2.072,8.05,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,8811,242093,12894,1348286,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJn0218,CBJn0218,2018,10,Spring,June,1.2,NA,NA,NA,NA,NA,NA,NA,NA,CB,11:54:00,27.93,33.14,60.1,1.9,8.03,6/19/18,2018-06-19,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/19/18,2018.463014,Jun,9953,494848,27693,1980180,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJn0509,CBJn0509,2019,20,Spring,June,1,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:38:00,28.07,36.61,99.2,2.145,7.69,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,9782,431479,25999,3010635,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJu0839,CBJu0839,2021,36,Summer,June,0.5,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:04,27.14,38.98,-,1.992,7.67,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,2035,255710,18186,1797951,Run2,Coastal,21.45705,-157.81135,NA,NA
CBJy0246,CBJy0246,2018,11,Summer,July,1.1,NA,NA,NA,NA,NA,NA,NA,NA,CB,2:28:00,27.15,34.03,18.1,2.78,7.97,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,8627,357867,20589,2144841,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBJy0669,CBJy0669,2020,28,Summer,July,0.5,NA,NA,NA,NA,NA,NA,NA,NA,CB,14:03:00,28.14,32.99,-,1.973,7.66,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,0,259176,15350,1482877,Run2,Coastal,21.45705,-157.81135,NA,NA
CBMa0158,CBMa0158,2018,7,Winter,March,0.9,0.06,7.21,0.24,NA,NA,NA,0.03,NA,CB,9:22:00,24.59,34.14,97.3,2.09,8.12,3/28/18,2018-03-28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/28/18,2018.235616,Mar,22112,282391,22756,1202376,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBMa0420,CBMa0420,2019,17,Winter,March,1,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:36:00,24.03,34.57,99.2,1.931,7.83,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,6014,112360,13131,1875580,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBMa0629,CBMa0629,2020,26,Winter,March,2.1,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:28:00,25.09,31.38,-,1.847,7.94,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,8588,419215,38486,1278509,Run2,Coastal,21.45705,-157.81135,NA,NA
CBMy0489,CBMy0489,2019,19,Spring,May,1.2,NA,NA,NA,NA,NA,NA,NA,NA,CB,11:54:00,27.23,36.01,-99.9,2.062,7.61,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,11004,330004,24463,2362130,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBMy0649,CBMy0649,2020,27,Spring,May,0.5,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:34:00,27.03,33.08,-,1.999,7.9,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,1681,121421,6999,1935680,Run2,Coastal,21.45705,-157.81135,NA,NA
CBMy0819,CBMy0819,2021,35,Spring,May,0.7,0.1,6.8,0.06,NA,NA,NA,0.01,NA,CB,12:48,25.79,34.91,-,2.05,7.72,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,5239,391824,18830,1458191,Run2,Coastal,21.45705,-157.81135,NA,NA
CBNo0076,CBNo0076,2017,3,Fall,November,1.4,NA,NA,NA,NA,NA,NA,NA,NA,CB,10:51:00,26.69,34,111.3,1.99,8.01,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,1077,103392,30805,1099247,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBNo0324,CBNo0324,2018,14,Fall,November,2,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:45:00,26.92,34.24,-99.9,1.9,7.73,11/9/18,2018-11-09,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/9/18,2018.854795,Nov,1523,339904,26708,1874201,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBNo0729,CBNo0729,2020,31,Fall,November,0.8,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:45,26.42,34.58,-,2.242,8,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,0,101252,9454,662332,Run2,Coastal,21.45705,-157.81135,NA,NA
CBOc0569,CBOc0569,2019,23,Fall,October,1.2,NA,NA,NA,NA,NA,NA,NA,NA,CB,9:44:00,27.76,33.22,-,2.083,8,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,1156,209082,19066,1591324,Run2,Coastal,21.45705,-157.81135,NA,NA
CBSe0056,CBSe0056,2017,2,Summer,September,1.7,0.09,4.02,0.12,NA,NA,NA,0.03,NA,CB,8:31:00,27.18,35.08,127,1.63,7.97,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,1510,226021,11621,1334459,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBSe0266,CBSe0266,2018,12,Summer,September,1.4,NA,NA,NA,NA,NA,NA,NA,NA,CB,14:21:00,28.46,32.27,17.8,1.94,7.92,9/11/18,2018-09-11,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/11/18,2018.693151,Sep,0,464004,25277,1948929,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBSe0709,CBSe0709,2020,30,Summer,September,0.4,0.18,6.49,0.05,NA,NA,NA,0.01,NA,CB,14:00:00,27.93,35.58,-,2.093,7.86,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,0,308942,13853,2168778,Run2,Coastal,21.45705,-157.81135,NA,NA
HP156_R2,HP156_R2,2018,7,Winter,March,1.3,0.05,4.2,0.36,NA,NA,NA,0.09,NA,HP1,8:23:00,23.96,34.19,102.3,1.75,7.89,3/28/18,2018-03-28,87,2,14.1,27.8,22.3,70.7,5.6,804.8,123.7,36.4,0,16.2,31.7,3.9,93,7.3,12.9,15.6,34.2,21.9,195.7,122.35,651.44,773.78,0.018222234,0.035927525,0.028819561,0.09136964,0.007237199,1.040088914,0.159864561,0.047041795,0,0.020936183,0.040967717,0.005040192,0.120189201,0.009434206,0.016671405,0.020160769,0.044198609,0.028302618,0.252914265,0.158119879,0.841893045,KByT,3/28/18,2018.235616,Mar,24752,318330,22782,1448198,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPAp0450,HPAp0450,2019,18,Spring,April,2.6,0.11,14.32,0.28,NA,NA,NA,0.02,NA,HP1,14:15:00,28.65,35.92,-99,1.822,7.7,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,0,119123,25789,1566389,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPAp0787,HPAp0787,2021,34,Spring,April,1.4,NA,NA,NA,NA,NA,NA,NA,NA,HP1,11:11,24.88,34.6,-,1.84,7.97,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,788,59417,8771,1415988,Run2,Coastal,21.43688,-157.80331,NA,NA
HPAu0034,HPAu0034,2017,1,Summer,August,1,0.14,15.13,0.82,0.35,1.17,8.36,0.05,0.08,HP1,7:56:00,27.57,34.59,112.2,1.8,7.89,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,131321,7944,1168617,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPAu0527,HPAu0527,2019,21,Summer,August,1.2,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:44:00,29.34,33.05,99.8,1.973,7.55,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,0,266963,37173,1645016,Run2,Coastal,21.43688,-157.80331,NA,NA
HPAu0547,HPAu0547,2019,22,Summer,August,1.8,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:03:00,28.74,33.16,-99,2.1,7.36,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,0,479406,51145,2238647,Run2,Coastal,21.43688,-157.80331,NA,NA
HPAu0687,HPAu0687,2020,29,Summer,August,1.1,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:14:00,28,33.31,-,1.7,7.45,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,0,103891,12776,1265128,Run2,Coastal,21.43688,-157.80331,NA,NA
HPDe0094,HPDe0094,2017,4,Fall,December,1.1,0.09,9.66,0.58,0.21,0.79,8.78,0.06,0.08,HP1,13:33:00,23.9,35.2,89.1,1.9,8.16,12/8/17,2017-12-08,342,2,13.4,31.3,43.2,46.8,8.7,627.1,125.9,48.7,4.5,48.6,34,8,60.2,9.7,12.4,42.5,39.2,33.6,85.5,99.4,502.58,601.98,0.022259876,0.051995083,0.071763182,0.077743447,0.014452307,1.041728961,0.209143161,0.080899698,0.007475331,0.080733579,0.056480282,0.013289478,0.100003322,0.016113492,0.020598691,0.070600352,0.065118442,0.055815808,0.142031297,0.165121765,0.834878235,KByT,12/8/17,2017.934247,Dec,17805,55241,11187,865360,Run_Jan2022,Coastal,21.43688,-157.80331,NA,NA
HPDe0587,HPDe0587,2019,24,Fall,December,1.1,NA,NA,NA,NA,NA,NA,NA,NA,HP1,11:42:00,25.88,33.55,-,1.966,7.59,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,10203,120830,19644,605488,Run2,Coastal,21.43688,-157.80331,NA,NA
HPDe0747,HPDe0747,2020,32,Fall,December,0.9,0.17,9.07,0.88,0.36,1.24,7.29,0.1,0.14,HP1,12:20,25.38,34.58,-,2.064,7.21,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,762,72613,9756,921823,Run2,Coastal,21.43688,-157.80331,NA,NA
HPFe0136,HPFe0136,2018,6,Winter,February,2.5,0.07,10.65,0.23,0.53,0.76,10.86,0.02,0.07,HP1,12:51:00,23.98,34.3,78.5,2.134,8.13,2/21/18,2018-02-21,52,2,105.5,61.4,66.6,175.4,4.4,2295.1,206.2,248.1,0,277.6,136.7,13.8,697.3,16.2,13.2,67.6,104.6,29.5,296,210.16,2031.69,2241.85,0.047059348,0.027388095,0.029707608,0.078238954,0.001962665,1.023752704,0.091977608,0.110667529,0,0.123826304,0.060976426,0.00615563,0.311037759,0.007226175,0.005887994,0.030153668,0.046657894,0.013158775,0.132033811,0.093744006,0.906255994,KByT,2/21/18,2018.139726,Feb,7905,446041,27207,2132248,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPFe0386,HPFe0386,2019,16,Winter,February,2.5,0.08,13.01,0.16,NA,NA,NA,0.01,NA,HP1,12:50:00,23.51,32.85,-99.9,1.897,7.81,2/25/19,2019-02-25,56,1.981,6.4,46.8,83.4,106.1,12.6,1760.3,271,251.5,39.6,269.4,61.9,9.9,424,24.3,16.4,17.3,66.4,38.9,25.3,55.62,1690.63,1746.26,0.003664975,0.026800133,0.047759211,0.060758421,0.00721542,1.00804004,0.155188804,0.144022081,0.022677035,0.15427256,0.035447184,0.005669259,0.242804622,0.013915454,0.0093915,0.009906887,0.03802412,0.022276179,0.014488106,0.031850927,0.968143346,KByT,2/25/19,2019.150685,Feb,0,27601,10518,1724444,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPFe0767,HPFe0767,2021,33,Winter,February,11.4,0.16,5.33,0.42,0.2,0.62,3.88,0.08,0.12,HP1,13:55,24.4,34.71,-,2.2,6.81,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,1471,51368,7222,777436,Run2,Coastal,21.43688,-157.80331,NA,NA
HPJa0116,HPJa0116,2018,5,Winter,January,2,0.07,4.7,0.17,0.02,0.19,2.71,0.04,0.04,HP1,8:48:00,24.02,33.85,82.4,1.7,7.62,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,7839,117298,5712,1594502,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPJa0354,HPJa0354,2019,15,Winter,January,1.7,0.09,6.31,0.31,0.09,0.4,4.44,0.05,0.06,HP1,11:36:00,24.3,34.9,-99.9,2.073,7.82,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,8469,164096,10505,1132428,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
HPJa0607,HPJa0607,2020,25,Winter,January,0.9,NA,NA,NA,NA,NA,NA,NA,NA,HP1,12:04:00,24.21,33.09,-,1.966,7.81,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,2666,19329,5279,754379,Run2,Coastal,21.43688,-157.80331,NA,NA
HPJn0196,HPJn0196,2018,9,Spring,June,1.8,0.1,17.89,0.57,0.02,0.59,5.9,0.03,0.03,HP1,11:23:00,25.5,33.81,46.1,1.924,8.05,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,906,151175,13328,1293950,Run_Aug2022,Coastal,21.43688,-157.80331,NA,NA
